Episode 96 done, steps = 93744, loss = 1.873321533203125, rewards = -21.0, consume time = 3182.054121017456s
Episode 97 done, steps = 94819, loss = 2.2269132137298584, rewards = -18.0, consume time = 3217.469090938568s
Episode 98 done, steps = 95926, loss = 2.106461763381958, rewards = -18.0, consume time = 3256.9132840633392s
Episode 99 done, steps = 96935, loss = 1.9334607124328613, rewards = -20.0, consume time = 3290.059489965439s
Episode 100 done, steps = 98111, loss = 2.1447813510894775, rewards = -19.0, consume time = 3328.7970831394196s
Episode 101 done, steps = 99121, loss = 2.3837897777557373, rewards = -20.0, consume time = 3361.972311973572s
Episode 102 done, steps = 100243, loss = 2.1897902488708496, rewards = -21.0, consume time = 3398.532687187195s
Episode 103 done, steps = 101148, loss = 2.020397186279297, rewards = -21.0, consume time = 3427.893606185913s
Episode 104 done, steps = 101993, loss = 1.6563127040863037, rewards = -21.0, consume time = 3455.4208738803864s
Episode 105 done, steps = 103062, loss = 1.9960224628448486, rewards = -20.0, consume time = 3490.0509848594666s
Episode 106 done, steps = 104042, loss = 2.200160264968872, rewards = -20.0, consume time = 3521.865965127945s
Episode 107 done, steps = 105043, loss = 2.1370198726654053, rewards = -20.0, consume time = 3554.340259075165s
Episode 108 done, steps = 106240, loss = 2.523404598236084, rewards = -20.0, consume time = 3596.466623067856s
Episode 109 done, steps = 107122, loss = 2.2159411907196045, rewards = -21.0, consume time = 3625.237048149109s
Episode 110 done, steps = 108182, loss = 2.3440282344818115, rewards = -21.0, consume time = 3659.5860452651978s
Episode 111 done, steps = 109135, loss = 1.7820597887039185, rewards = -21.0, consume time = 3690.5967669487s
Episode 112 done, steps = 110155, loss = 1.583055019378662, rewards = -20.0, consume time = 3723.647527217865s
Episode 113 done, steps = 111035, loss = 1.6520417928695679, rewards = -21.0, consume time = 3752.385256290436s
Episode 114 done, steps = 111967, loss = 1.5855392217636108, rewards = -20.0, consume time = 3782.7533419132233s
Episode 115 done, steps = 112865, loss = 1.7071619033813477, rewards = -20.0, consume time = 3811.9331860542297s
Episode 116 done, steps = 113866, loss = 2.2347381114959717, rewards = -21.0, consume time = 3844.4413640499115s
Episode 117 done, steps = 115057, loss = 2.7237508296966553, rewards = -20.0, consume time = 3883.125555038452s
Episode 118 done, steps = 115928, loss = 2.0765581130981445, rewards = -21.0, consume time = 3911.4798152446747s
Episode 119 done, steps = 116752, loss = 1.7499319314956665, rewards = -21.0, consume time = 3941.5129442214966s
Episode 120 done, steps = 117910, loss = 2.331936836242676, rewards = -20.0, consume time = 3978.9930531978607s
Episode 121 done, steps = 119212, loss = 2.361077070236206, rewards = -18.0, consume time = 4021.3108751773834s
Episode 122 done, steps = 120082, loss = 1.4280822277069092, rewards = -21.0, consume time = 4049.871143102646s
Episode 123 done, steps = 121180, loss = 1.8545141220092773, rewards = -19.0, consume time = 4085.4277510643005s
Episode 124 done, steps = 122177, loss = 2.23331880569458, rewards = -19.0, consume time = 4117.907165050507s
Episode 125 done, steps = 123398, loss = 2.827873468399048, rewards = -20.0, consume time = 4157.463847160339s
Episode 126 done, steps = 124445, loss = 1.9865837097167969, rewards = -21.0, consume time = 4191.436738014221s
Episode 127 done, steps = 125744, loss = 2.184199810028076, rewards = -18.0, consume time = 4233.676846981049s
Episode 128 done, steps = 126740, loss = 1.66481614112854, rewards = -21.0, consume time = 4266.036306142807s
Episode 129 done, steps = 128017, loss = 2.094179391860962, rewards = -17.0, consume time = 4310.631805896759s
Episode 130 done, steps = 129094, loss = 1.6824880838394165, rewards = -19.0, consume time = 4345.62155008316s
Episode 131 done, steps = 130140, loss = 2.3643388748168945, rewards = -20.0, consume time = 4379.549536943436s
Episode 132 done, steps = 131201, loss = 2.0597469806671143, rewards = -21.0, consume time = 4413.959897041321s
Episode 133 done, steps = 132327, loss = 1.7512316703796387, rewards = -21.0, consume time = 4450.357659101486s
Episode 134 done, steps = 133513, loss = 2.0142531394958496, rewards = -20.0, consume time = 4488.869676113129s
Episode 135 done, steps = 134573, loss = 2.1713461875915527, rewards = -20.0, consume time = 4523.34784412384s
Episode 136 done, steps = 135690, loss = 2.1302504539489746, rewards = -19.0, consume time = 4559.537271022797s
Episode 137 done, steps = 136570, loss = 1.4865800142288208, rewards = -21.0, consume time = 4588.098948001862s
Episode 138 done, steps = 137632, loss = 1.9529885053634644, rewards = -18.0, consume time = 4622.503819942474s
Episode 139 done, steps = 138729, loss = 1.9479988813400269, rewards = -20.0, consume time = 4661.312232255936s
Episode 140 done, steps = 139800, loss = 1.9414974451065063, rewards = -20.0, consume time = 4696.202414989471s
Episode 141 done, steps = 140706, loss = 1.7721929550170898, rewards = -21.0, consume time = 4725.620198011398s
Episode 142 done, steps = 141750, loss = 2.7021968364715576, rewards = -19.0, consume time = 4759.442274093628s
Episode 143 done, steps = 142602, loss = 2.1534407138824463, rewards = -21.0, consume time = 4786.997101068497s
Episode 144 done, steps = 143504, loss = 1.9733078479766846, rewards = -20.0, consume time = 4816.153984069824s
Episode 145 done, steps = 144716, loss = 2.9689419269561768, rewards = -19.0, consume time = 4855.450921058655s
Episode 146 done, steps = 145658, loss = 2.2467381954193115, rewards = -21.0, consume time = 4885.974702119827s
Episode 147 done, steps = 146594, loss = 2.287986993789673, rewards = -20.0, consume time = 4916.441406965256s
Episode 148 done, steps = 147782, loss = 1.966631531715393, rewards = -20.0, consume time = 4954.908756017685s
Episode 149 done, steps = 148950, loss = 2.2265377044677734, rewards = -20.0, consume time = 4992.7449469566345s
Episode 150 done, steps = 149894, loss = 1.7693097591400146, rewards = -20.0, consume time = 5026.481683254242s
Episode 151 done, steps = 151059, loss = 2.024024486541748, rewards = -20.0, consume time = 5064.2489540576935s
Episode 152 done, steps = 152073, loss = 2.2100536823272705, rewards = -20.0, consume time = 5097.091197967529s
Episode 153 done, steps = 153094, loss = 1.947792410850525, rewards = -20.0, consume time = 5130.237246990204s
Episode 154 done, steps = 154154, loss = 2.157388687133789, rewards = -19.0, consume time = 5164.569745063782s
Episode 155 done, steps = 155006, loss = 1.7786790132522583, rewards = -21.0, consume time = 5192.285709142685s
Episode 156 done, steps = 155911, loss = 1.8107715845108032, rewards = -21.0, consume time = 5221.6156940460205s
Episode 157 done, steps = 156978, loss = 2.3109114170074463, rewards = -20.0, consume time = 5256.178731918335s
Episode 158 done, steps = 157798, loss = 1.6925709247589111, rewards = -21.0, consume time = 5282.761533975601s
Episode 159 done, steps = 158853, loss = 2.5246591567993164, rewards = -19.0, consume time = 5316.938719034195s
Episode 160 done, steps = 159949, loss = 2.267524003982544, rewards = -20.0, consume time = 5352.45637011528s
Episode 161 done, steps = 161063, loss = 2.2959694862365723, rewards = -19.0, consume time = 5391.715734958649s
Episode 162 done, steps = 162101, loss = 2.309170722961426, rewards = -20.0, consume time = 5425.331168889999s
Episode 163 done, steps = 163061, loss = 2.6690824031829834, rewards = -20.0, consume time = 5456.532017230988s
Episode 164 done, steps = 163975, loss = 2.3985445499420166, rewards = -21.0, consume time = 5486.121212244034s
Episode 165 done, steps = 165125, loss = 2.8208510875701904, rewards = -18.0, consume time = 5523.459456920624s
Episode 166 done, steps = 166177, loss = 2.54827880859375, rewards = -21.0, consume time = 5557.685045957565s
Episode 167 done, steps = 167301, loss = 2.4559645652770996, rewards = -19.0, consume time = 5594.1017870903015s
Episode 168 done, steps = 168171, loss = 2.3659231662750244, rewards = -20.0, consume time = 5622.461637020111s
Episode 169 done, steps = 169076, loss = 2.111290693283081, rewards = -21.0, consume time = 5651.906895160675s
Episode 170 done, steps = 170304, loss = 4.123885154724121, rewards = -20.0, consume time = 5691.748600959778s
Episode 171 done, steps = 171365, loss = 4.052296161651611, rewards = -20.0, consume time = 5729.309597253799s
Episode 172 done, steps = 172357, loss = 3.5906169414520264, rewards = -20.0, consume time = 5761.327276945114s
Episode 173 done, steps = 173791, loss = 3.369701623916626, rewards = -18.0, consume time = 5807.727567195892s
Episode 174 done, steps = 174890, loss = 2.22159481048584, rewards = -20.0, consume time = 5843.556479930878s
Episode 175 done, steps = 176284, loss = 2.939408540725708, rewards = -18.0, consume time = 5888.724514961243s
Episode 176 done, steps = 177285, loss = 2.342252016067505, rewards = -20.0, consume time = 5921.310047864914s
Episode 177 done, steps = 178408, loss = 2.542229652404785, rewards = -19.0, consume time = 5957.688951015472s
Episode 178 done, steps = 179323, loss = 2.345376968383789, rewards = -21.0, consume time = 5987.390946149826s
Episode 179 done, steps = 180144, loss = 1.980414867401123, rewards = -21.0, consume time = 6014.054909229279s
Episode 180 done, steps = 181216, loss = 2.768697738647461, rewards = -19.0, consume time = 6048.914396047592s
Episode 181 done, steps = 182400, loss = 2.896868944168091, rewards = -19.0, consume time = 6090.334243059158s
Episode 182 done, steps = 183331, loss = 2.4570765495300293, rewards = -20.0, consume time = 6120.4953808784485s
Episode 183 done, steps = 184567, loss = 3.610705852508545, rewards = -21.0, consume time = 6160.520399093628s
Episode 184 done, steps = 185729, loss = 3.3605282306671143, rewards = -20.0, consume time = 6198.171710014343s
Episode 185 done, steps = 186848, loss = 2.5179786682128906, rewards = -18.0, consume time = 6234.461912155151s
Episode 186 done, steps = 187812, loss = 1.8191335201263428, rewards = -21.0, consume time = 6265.773784160614s
Episode 187 done, steps = 189009, loss = 2.1979894638061523, rewards = -19.0, consume time = 6304.711384057999s
Episode 188 done, steps = 190539, loss = 2.7867043018341064, rewards = -16.0, consume time = 6354.305885076523s
Episode 189 done, steps = 191780, loss = 2.9384572505950928, rewards = -19.0, consume time = 6394.4808938503265s
Episode 190 done, steps = 192848, loss = 2.1143085956573486, rewards = -19.0, consume time = 6429.014390945435s
Episode 191 done, steps = 194041, loss = 2.4941506385803223, rewards = -21.0, consume time = 6470.813714265823s
Episode 192 done, steps = 195121, loss = 2.0456223487854004, rewards = -20.0, consume time = 6505.780923128128s
Episode 193 done, steps = 196386, loss = 2.322558879852295, rewards = -19.0, consume time = 6546.909414052963s
Episode 194 done, steps = 197489, loss = 2.021763563156128, rewards = -19.0, consume time = 6582.689629077911s
Episode 195 done, steps = 198757, loss = 2.322185516357422, rewards = -18.0, consume time = 6623.843001127243s
Episode 196 done, steps = 199949, loss = 2.3334269523620605, rewards = -18.0, consume time = 6663.027752876282s
Episode 197 done, steps = 200922, loss = 2.3556385040283203, rewards = -21.0, consume time = 6694.561110973358s
Episode 198 done, steps = 202321, loss = 3.047400712966919, rewards = -19.0, consume time = 6739.807316064835s
Episode 199 done, steps = 203476, loss = 3.127762794494629, rewards = -20.0, consume time = 6777.180067062378s
Episode 200 done, steps = 204573, loss = 2.591972827911377, rewards = -20.0, consume time = 6815.939764022827s
Episode 201 done, steps = 205583, loss = 2.3084239959716797, rewards = -19.0, consume time = 6848.6516399383545s
Episode 202 done, steps = 206841, loss = 2.8500425815582275, rewards = -19.0, consume time = 6889.4073050022125s
Episode 203 done, steps = 207773, loss = 2.4962985515594482, rewards = -21.0, consume time = 6919.659184217453s
Episode 204 done, steps = 208691, loss = 1.9862955808639526, rewards = -20.0, consume time = 6949.466583013535s
Episode 205 done, steps = 209818, loss = 2.2797904014587402, rewards = -20.0, consume time = 6986.016654014587s
Episode 206 done, steps = 211146, loss = 2.409618616104126, rewards = -20.0, consume time = 7029.158668994904s
Episode 207 done, steps = 212199, loss = 2.018723249435425, rewards = -19.0, consume time = 7063.602860927582s
Episode 208 done, steps = 213560, loss = 2.555096387863159, rewards = -16.0, consume time = 7107.5390911102295s
