Episode 280 done, steps = 215134, rewards = -21.0, consume time = 7695.280817985535s
Episode 281 done, steps = 215898, rewards = -21.0, consume time = 7721.528090000153s
Episode 282 done, steps = 216662, rewards = -21.0, consume time = 7747.278336763382s
Episode 283 done, steps = 217426, rewards = -21.0, consume time = 7772.54087305069s
Episode 284 done, steps = 218190, rewards = -21.0, consume time = 7805.296921014786s
Episode 285 done, steps = 218954, rewards = -21.0, consume time = 7831.605780124664s
Episode 286 done, steps = 219718, rewards = -21.0, consume time = 7857.614484071732s
Episode 287 done, steps = 220482, rewards = -21.0, consume time = 7883.843441963196s
Episode 288 done, steps = 221246, rewards = -21.0, consume time = 7909.618254899979s
Episode 289 done, steps = 222010, rewards = -21.0, consume time = 7935.13677406311s
Episode 290 done, steps = 222774, rewards = -21.0, consume time = 7961.613100767136s
Episode 291 done, steps = 223538, rewards = -21.0, consume time = 7987.144245862961s
Episode 292 done, steps = 224302, rewards = -21.0, consume time = 8013.539283037186s
Episode 293 done, steps = 225066, rewards = -21.0, consume time = 8039.635765790939s
Episode 294 done, steps = 225830, rewards = -21.0, consume time = 8065.182102203369s
Episode 295 done, steps = 226594, rewards = -21.0, consume time = 8090.698461055756s
Episode 296 done, steps = 227358, rewards = -21.0, consume time = 8116.954294919968s
Episode 297 done, steps = 228122, rewards = -21.0, consume time = 8142.690490961075s
Episode 298 done, steps = 228886, rewards = -21.0, consume time = 8171.855273962021s
Episode 299 done, steps = 229650, rewards = -21.0, consume time = 8204.371563196182s
Episode 300 done, steps = 230414, rewards = -21.0, consume time = 8230.5878739357s
Episode 301 done, steps = 231256, rewards = -20.0, consume time = 8259.145725011826s
Episode 302 done, steps = 232020, rewards = -21.0, consume time = 8284.418037176132s
Episode 303 done, steps = 232784, rewards = -21.0, consume time = 8309.669507980347s
Episode 304 done, steps = 233548, rewards = -21.0, consume time = 8334.952492952347s
Episode 305 done, steps = 234312, rewards = -21.0, consume time = 8360.583618879318s
Episode 306 done, steps = 235076, rewards = -21.0, consume time = 8386.691199064255s
Episode 307 done, steps = 235840, rewards = -21.0, consume time = 8412.886182069778s
Episode 308 done, steps = 236604, rewards = -21.0, consume time = 8438.184276103973s
Episode 309 done, steps = 237368, rewards = -21.0, consume time = 8463.465481996536s
Episode 310 done, steps = 238132, rewards = -21.0, consume time = 8488.782691001892s
Episode 311 done, steps = 238896, rewards = -21.0, consume time = 8514.223554849625s
Episode 312 done, steps = 239799, rewards = -20.0, consume time = 8546.661148071289s
