Episode 163 done, steps = 83057, rewards = 45.0, consume time = 317.6432249546051s
Episode 164 done, steps = 83448, rewards = 75.0, consume time = 319.18357610702515s
Episode 165 done, steps = 83906, rewards = 120.0, consume time = 320.9666109085083s
Episode 166 done, steps = 84369, rewards = 120.0, consume time = 322.8072271347046s
Episode 167 done, steps = 84892, rewards = 285.0, consume time = 324.8905510902405s
Episode 168 done, steps = 85689, rewards = 310.0, consume time = 328.01741099357605s
Episode 169 done, steps = 86258, rewards = 120.0, consume time = 330.3092432022095s
Episode 170 done, steps = 86896, rewards = 150.0, consume time = 332.78352999687195s
Episode 171 done, steps = 87294, rewards = 10.0, consume time = 334.4104628562927s
Episode 172 done, steps = 88006, rewards = 185.0, consume time = 337.0930118560791s
Episode 173 done, steps = 88575, rewards = 140.0, consume time = 339.2564010620117s
Episode 174 done, steps = 89055, rewards = 160.0, consume time = 341.1092050075531s
Episode 175 done, steps = 90034, rewards = 340.0, consume time = 344.9048969745636s
Episode 176 done, steps = 90808, rewards = 335.0, consume time = 347.92234206199646s
Episode 177 done, steps = 91183, rewards = 65.0, consume time = 349.4581460952759s
Episode 178 done, steps = 91481, rewards = 10.0, consume time = 350.62977719306946s
Episode 179 done, steps = 92016, rewards = 120.0, consume time = 352.7291729450226s
Episode 180 done, steps = 92674, rewards = 265.0, consume time = 355.2807548046112s
Episode 181 done, steps = 93167, rewards = 135.0, consume time = 357.29795718193054s
Episode 182 done, steps = 93713, rewards = 150.0, consume time = 359.45055890083313s
Episode 183 done, steps = 94147, rewards = 45.0, consume time = 361.15187311172485s
Episode 184 done, steps = 94864, rewards = 230.0, consume time = 364.0083520412445s
Episode 185 done, steps = 95356, rewards = 190.0, consume time = 365.96653413772583s
Episode 186 done, steps = 95810, rewards = 30.0, consume time = 367.7268741130829s
Episode 187 done, steps = 96214, rewards = 125.0, consume time = 369.3964228630066s
Episode 188 done, steps = 96708, rewards = 110.0, consume time = 371.37270283699036s
Episode 189 done, steps = 97218, rewards = 155.0, consume time = 373.3976380825043s
Episode 190 done, steps = 97704, rewards = 110.0, consume time = 375.3513870239258s
Episode 191 done, steps = 98219, rewards = 110.0, consume time = 377.3548758029938s
Episode 192 done, steps = 99520, rewards = 1175.0, consume time = 382.1128041744232s
Episode 193 done, steps = 99798, rewards = 105.0, consume time = 383.2689199447632s
Episode 194 done, steps = 100140, rewards = 120.0, consume time = 384.6151638031006s
Episode 195 done, steps = 100618, rewards = 105.0, consume time = 386.50472807884216s
Episode 196 done, steps = 101197, rewards = 165.0, consume time = 388.73939514160156s
Episode 197 done, steps = 101604, rewards = 30.0, consume time = 390.38231897354126s
Episode 198 done, steps = 102316, rewards = 155.0, consume time = 393.2543921470642s
Episode 199 done, steps = 102667, rewards = 65.0, consume time = 394.66246700286865s
Episode 200 done, steps = 103432, rewards = 215.0, consume time = 397.73020911216736s
Episode 201 done, steps = 103923, rewards = 110.0, consume time = 399.6689200401306s
Episode 202 done, steps = 104404, rewards = 110.0, consume time = 401.5926561355591s
Episode 203 done, steps = 105252, rewards = 475.0, consume time = 404.87973403930664s
Episode 204 done, steps = 105611, rewards = 110.0, consume time = 406.2708549499512s
Episode 205 done, steps = 105892, rewards = 75.0, consume time = 407.4029030799866s
Episode 206 done, steps = 106206, rewards = 80.0, consume time = 408.70697689056396s
Episode 207 done, steps = 106508, rewards = 20.0, consume time = 409.95186614990234s
Episode 208 done, steps = 107056, rewards = 285.0, consume time = 412.0997049808502s
Episode 209 done, steps = 107751, rewards = 415.0, consume time = 414.77456617355347s
Episode 210 done, steps = 108274, rewards = 100.0, consume time = 416.94898414611816s
Episode 211 done, steps = 108767, rewards = 85.0, consume time = 418.88419699668884s
Episode 212 done, steps = 109294, rewards = 160.0, consume time = 420.9911060333252s
Episode 213 done, steps = 110014, rewards = 330.0, consume time = 423.65701508522034s
Episode 214 done, steps = 110542, rewards = 135.0, consume time = 425.6423900127411s
Episode 215 done, steps = 111182, rewards = 210.0, consume time = 428.2041459083557s
Episode 216 done, steps = 111899, rewards = 255.0, consume time = 431.04551911354065s
Episode 217 done, steps = 112219, rewards = 95.0, consume time = 432.3734920024872s
Episode 218 done, steps = 113157, rewards = 515.0, consume time = 435.96066784858704s
Episode 219 done, steps = 113530, rewards = 135.0, consume time = 437.4857997894287s
Episode 220 done, steps = 114051, rewards = 105.0, consume time = 439.45134592056274s
Episode 221 done, steps = 114695, rewards = 225.0, consume time = 441.9238541126251s
Episode 222 done, steps = 115141, rewards = 70.0, consume time = 443.7059121131897s
Episode 223 done, steps = 115513, rewards = 15.0, consume time = 445.18819403648376s
Episode 224 done, steps = 116112, rewards = 165.0, consume time = 447.5037398338318s
Episode 225 done, steps = 116609, rewards = 135.0, consume time = 449.39673590660095s
Episode 226 done, steps = 117203, rewards = 170.0, consume time = 451.7703969478607s
Episode 227 done, steps = 117552, rewards = 85.0, consume time = 453.21976804733276s
Episode 228 done, steps = 117996, rewards = 55.0, consume time = 455.04050302505493s
Episode 229 done, steps = 118614, rewards = 115.0, consume time = 457.3866629600525s
Episode 230 done, steps = 119011, rewards = 110.0, consume time = 459.0461208820343s
Episode 231 done, steps = 119411, rewards = 105.0, consume time = 460.65704107284546s
Episode 232 done, steps = 119699, rewards = 80.0, consume time = 461.8330328464508s
Episode 233 done, steps = 120270, rewards = 160.0, consume time = 464.0294899940491s
Episode 234 done, steps = 120573, rewards = 65.0, consume time = 465.2668368816376s
Episode 235 done, steps = 121159, rewards = 250.0, consume time = 467.5336399078369s
Episode 236 done, steps = 121924, rewards = 265.0, consume time = 470.5230050086975s
Episode 237 done, steps = 122328, rewards = 140.0, consume time = 472.1045219898224s
Episode 238 done, steps = 123396, rewards = 660.0, consume time = 476.3217887878418s
Episode 239 done, steps = 124113, rewards = 275.0, consume time = 479.13778710365295s
Episode 240 done, steps = 124460, rewards = 80.0, consume time = 480.49996304512024s
Episode 241 done, steps = 125062, rewards = 415.0, consume time = 482.86489701271057s
Episode 242 done, steps = 125460, rewards = 60.0, consume time = 484.42291712760925s
Episode 243 done, steps = 126002, rewards = 150.0, consume time = 486.5748338699341s
Episode 244 done, steps = 126489, rewards = 120.0, consume time = 488.415158033371s
Episode 245 done, steps = 127220, rewards = 410.0, consume time = 491.3766279220581s
Episode 246 done, steps = 127712, rewards = 120.0, consume time = 493.38117694854736s
Episode 247 done, steps = 128235, rewards = 180.0, consume time = 495.5880808830261s
Episode 248 done, steps = 128830, rewards = 155.0, consume time = 498.0337619781494s
Episode 249 done, steps = 129187, rewards = 155.0, consume time = 499.5410680770874s
Episode 250 done, steps = 129587, rewards = 90.0, consume time = 501.22629284858704s
Episode 251 done, steps = 130259, rewards = 190.0, consume time = 503.8584990501404s
Episode 252 done, steps = 131030, rewards = 285.0, consume time = 506.7715129852295s
Episode 253 done, steps = 131647, rewards = 155.0, consume time = 509.20027804374695s
Episode 254 done, steps = 132246, rewards = 410.0, consume time = 511.5715320110321s
Episode 255 done, steps = 132544, rewards = 65.0, consume time = 512.7542870044708s
Episode 256 done, steps = 132846, rewards = 60.0, consume time = 514.0056519508362s
Episode 257 done, steps = 133410, rewards = 135.0, consume time = 516.2560288906097s
Episode 258 done, steps = 133798, rewards = 35.0, consume time = 517.8179860115051s
Episode 259 done, steps = 134374, rewards = 95.0, consume time = 520.0568199157715s
Episode 260 done, steps = 134786, rewards = 100.0, consume time = 521.7188589572906s
Episode 261 done, steps = 135176, rewards = 60.0, consume time = 523.2665238380432s
Episode 262 done, steps = 135658, rewards = 95.0, consume time = 525.1884899139404s
Episode 263 done, steps = 136104, rewards = 60.0, consume time = 526.9834260940552s
Episode 264 done, steps = 136791, rewards = 245.0, consume time = 529.7136161327362s
Episode 265 done, steps = 137252, rewards = 135.0, consume time = 531.5926198959351s
Episode 266 done, steps = 137738, rewards = 85.0, consume time = 533.4892840385437s
Episode 267 done, steps = 138212, rewards = 135.0, consume time = 535.4285719394684s
Episode 268 done, steps = 138673, rewards = 90.0, consume time = 537.3657238483429s
Episode 269 done, steps = 139023, rewards = 5.0, consume time = 538.7500410079956s
Episode 270 done, steps = 139285, rewards = 50.0, consume time = 539.8221480846405s
Episode 271 done, steps = 139818, rewards = 95.0, consume time = 541.9957649707794s
Episode 272 done, steps = 140299, rewards = 180.0, consume time = 543.9143311977386s
Episode 273 done, steps = 141176, rewards = 350.0, consume time = 547.1937420368195s
Episode 274 done, steps = 141620, rewards = 60.0, consume time = 549.0185830593109s
Episode 275 done, steps = 142620, rewards = 225.0, consume time = 552.9829571247101s
Episode 276 done, steps = 143096, rewards = 120.0, consume time = 554.8835408687592s
Episode 277 done, steps = 143616, rewards = 155.0, consume time = 556.9516649246216s
Episode 278 done, steps = 144248, rewards = 190.0, consume time = 559.4699461460114s
Episode 279 done, steps = 144560, rewards = 40.0, consume time = 560.783282995224s
Episode 280 done, steps = 144979, rewards = 95.0, consume time = 562.4186820983887s
Episode 281 done, steps = 145803, rewards = 580.0, consume time = 565.5480530261993s
Episode 282 done, steps = 146093, rewards = 75.0, consume time = 566.7897419929504s
Episode 283 done, steps = 146633, rewards = 135.0, consume time = 568.9311208724976s
Episode 284 done, steps = 147642, rewards = 545.0, consume time = 573.0066349506378s
Episode 285 done, steps = 148234, rewards = 310.0, consume time = 575.3287951946259s
Episode 286 done, steps = 148740, rewards = 210.0, consume time = 577.3137369155884s
Episode 287 done, steps = 149055, rewards = 75.0, consume time = 578.6370480060577s
Episode 288 done, steps = 149717, rewards = 220.0, consume time = 581.2680139541626s
Episode 289 done, steps = 150543, rewards = 275.0, consume time = 584.3159840106964s
Episode 290 done, steps = 151230, rewards = 160.0, consume time = 587.0786621570587s
Episode 291 done, steps = 151743, rewards = 140.0, consume time = 589.0787971019745s
Episode 292 done, steps = 152156, rewards = 125.0, consume time = 590.7190451622009s
Episode 293 done, steps = 152443, rewards = 65.0, consume time = 591.951495885849s
Episode 294 done, steps = 152972, rewards = 195.0, consume time = 593.9898228645325s
Episode 295 done, steps = 153601, rewards = 170.0, consume time = 596.3819761276245s
Episode 296 done, steps = 154181, rewards = 135.0, consume time = 598.6351358890533s
Episode 297 done, steps = 154892, rewards = 470.0, consume time = 601.4581549167633s
Episode 298 done, steps = 155181, rewards = 55.0, consume time = 602.5684690475464s
Episode 299 done, steps = 155632, rewards = 80.0, consume time = 604.4577081203461s
Episode 300 done, steps = 156203, rewards = 145.0, consume time = 606.6585619449615s
Episode 301 done, steps = 156499, rewards = 75.0, consume time = 607.8386170864105s
Episode 302 done, steps = 157095, rewards = 110.0, consume time = 610.2094781398773s
Episode 303 done, steps = 157776, rewards = 435.0, consume time = 612.8603219985962s
Episode 304 done, steps = 158220, rewards = 60.0, consume time = 614.6865799427032s
Episode 305 done, steps = 158689, rewards = 110.0, consume time = 616.5656681060791s
Episode 306 done, steps = 159163, rewards = 155.0, consume time = 618.4795808792114s
Episode 307 done, steps = 159481, rewards = 70.0, consume time = 619.7881810665131s
Episode 308 done, steps = 159778, rewards = 20.0, consume time = 620.9370050430298s
