Episode 86 done, steps = 21486, actions = [0:39/250 | 1:38/250 | 2:21/250 | 3:51/250 | 4:101/250 | ], loss = 50.351318359375, rewards = -39.87341772151936, consume time = 1310.7842531204224s
Episode 87 done, steps = 21736, actions = [0:19/250 | 1:72/250 | 2:28/250 | 3:85/250 | 4:46/250 | ], loss = 65.5511703491211, rewards = -33.77483443708667, consume time = 1325.658921957016s
Episode 88 done, steps = 21986, actions = [0:30/250 | 1:26/250 | 2:22/250 | 3:69/250 | 4:103/250 | ], loss = 52.9215202331543, rewards = -28.32764505119513, consume time = 1340.5916202068329s
Episode 89 done, steps = 22236, actions = [0:27/250 | 1:56/250 | 2:51/250 | 3:54/250 | 4:62/250 | ], loss = 59.10598373413086, rewards = -27.777777777777814, consume time = 1356.1213850975037s
Episode 90 done, steps = 22486, actions = [0:58/250 | 1:61/250 | 2:36/250 | 3:72/250 | 4:23/250 | ], loss = 54.84030532836914, rewards = -62.26415094339678, consume time = 1371.1873080730438s
Episode 91 done, steps = 22736, actions = [0:30/250 | 1:81/250 | 2:41/250 | 3:65/250 | 4:33/250 | ], loss = 49.553768157958984, rewards = -48.05194805194861, consume time = 1386.2239940166473s
Episode 92 done, steps = 22986, actions = [0:29/250 | 1:27/250 | 2:35/250 | 3:58/250 | 4:101/250 | ], loss = 46.838504791259766, rewards = -23.357664233576816, consume time = 1401.6256370544434s
Episode 93 done, steps = 23236, actions = [0:47/250 | 1:47/250 | 2:50/250 | 3:92/250 | 4:14/250 | ], loss = 46.810604095458984, rewards = 62.54416961131022, consume time = 1416.589459180832s
Episode 94 done, steps = 23486, actions = [0:59/250 | 1:66/250 | 2:16/250 | 3:54/250 | 4:55/250 | ], loss = 51.006675720214844, rewards = -52.09580838323421, consume time = 1431.6682181358337s
Episode 95 done, steps = 23736, actions = [0:47/250 | 1:46/250 | 2:49/250 | 3:91/250 | 4:17/250 | ], loss = 58.69004821777344, rewards = 70.21276595744777, consume time = 1446.9645202159882s
Episode 96 done, steps = 23986, actions = [0:82/250 | 1:29/250 | 2:26/250 | 3:96/250 | 4:17/250 | ], loss = 54.560523986816406, rewards = 56.46258503401465, consume time = 1461.9913620948792s
Episode 97 done, steps = 24236, actions = [0:58/250 | 1:59/250 | 2:64/250 | 3:49/250 | 4:20/250 | ], loss = 54.38721466064453, rewards = -44.44444444444488, consume time = 1476.789691209793s
Episode 98 done, steps = 24486, actions = [0:97/250 | 1:22/250 | 2:34/250 | 3:48/250 | 4:49/250 | ], loss = 55.61451721191406, rewards = -1.8181818181827312, consume time = 1492.0232870578766s
Episode 99 done, steps = 24736, actions = [0:13/250 | 1:29/250 | 2:51/250 | 3:44/250 | 4:113/250 | ], loss = 61.66301727294922, rewards = -35.714285714286355, consume time = 1507.5128140449524s
Episode 100 done, steps = 24986, actions = [0:29/250 | 1:78/250 | 2:56/250 | 3:70/250 | 4:17/250 | ], loss = 54.20981216430664, rewards = -46.42857142857208, consume time = 1522.7566142082214s
Episode 101 done, steps = 25236, actions = [0:41/250 | 1:39/250 | 2:36/250 | 3:52/250 | 4:82/250 | ], loss = 54.010597229003906, rewards = -25.465838509317027, consume time = 1537.985906124115s
Episode 102 done, steps = 25486, actions = [0:120/250 | 1:30/250 | 2:38/250 | 3:49/250 | 4:13/250 | ], loss = 53.63997268676758, rewards = -33.33333333333373, consume time = 1553.600821018219s
Episode 103 done, steps = 25736, actions = [0:27/250 | 1:52/250 | 2:25/250 | 3:20/250 | 4:126/250 | ], loss = 55.18989944458008, rewards = -73.18007662835257, consume time = 1569.0932762622833s
Episode 104 done, steps = 25986, actions = [0:46/250 | 1:43/250 | 2:47/250 | 3:94/250 | 4:20/250 | ], loss = 56.87665557861328, rewards = -34.64052287581757, consume time = 1585.2956590652466s
Episode 105 done, steps = 26236, actions = [0:50/250 | 1:32/250 | 2:63/250 | 3:47/250 | 4:58/250 | ], loss = 53.47074890136719, rewards = 13.333333333333568, consume time = 1601.7804911136627s
Episode 106 done, steps = 26486, actions = [0:14/250 | 1:86/250 | 2:69/250 | 3:59/250 | 4:22/250 | ], loss = 55.38535690307617, rewards = -29.96108949416406, consume time = 1617.5333700180054s
Episode 107 done, steps = 26736, actions = [0:34/250 | 1:41/250 | 2:55/250 | 3:36/250 | 4:84/250 | ], loss = 57.77309799194336, rewards = -44.2622950819676, consume time = 1633.3470692634583s
