Episode 46 done, steps = 6234, actions = [0:1/110 | 1:1/110 | 2:7/110 | 3:100/110 | 4:1/110 | ], loss = -4.507899284362793, rewards = -73.93255813953543, consume time = 141.99658012390137s
Episode 47 done, steps = 6355, actions = [0:0/121 | 1:2/121 | 2:9/121 | 3:104/121 | 4:6/121 | ], loss = -4.212206840515137, rewards = -65.49323308270692, consume time = 144.71829390525818s
Episode 48 done, steps = 6485, actions = [0:0/130 | 1:4/130 | 2:8/130 | 3:115/130 | 4:3/130 | ], loss = -2.796654224395752, rewards = -78.81029900332291, consume time = 147.75616884231567s
Episode 49 done, steps = 6628, actions = [0:0/143 | 1:2/143 | 2:12/143 | 3:122/143 | 4:7/143 | ], loss = -8.0308256149292, rewards = -85.3276450511952, consume time = 151.04663491249084s
Episode 50 done, steps = 6742, actions = [0:2/114 | 1:1/114 | 2:10/114 | 3:97/114 | 4:4/114 | ], loss = -8.189471244812012, rewards = -79.66927899686576, consume time = 153.72552919387817s
Episode 51 done, steps = 6965, actions = [0:0/223 | 1:3/223 | 2:31/223 | 3:182/223 | 4:7/223 | ], loss = -4.8168487548828125, rewards = -112.99240924092476, consume time = 158.7900140285492s
Episode 52 done, steps = 7179, actions = [0:1/214 | 1:2/214 | 2:29/214 | 3:173/214 | 4:9/214 | ], loss = -5.644525051116943, rewards = -111.9214046822749, consume time = 163.64956498146057s
Episode 53 done, steps = 7328, actions = [0:0/149 | 1:3/149 | 2:26/149 | 3:110/149 | 4:10/149 | ], loss = -5.55054235458374, rewards = -63.45531914893662, consume time = 167.08198976516724s
Episode 54 done, steps = 7485, actions = [0:1/157 | 1:2/157 | 2:25/157 | 3:125/157 | 4:4/157 | ], loss = -2.738708019256592, rewards = -83.02980132450412, consume time = 170.65244221687317s
Episode 55 done, steps = 7682, actions = [0:1/197 | 1:3/197 | 2:29/197 | 3:157/197 | 4:7/197 | ], loss = -4.484632968902588, rewards = -100.46870748299385, consume time = 175.11329793930054s
Episode 56 done, steps = 7812, actions = [0:0/130 | 1:3/130 | 2:19/130 | 3:102/130 | 4:6/130 | ], loss = -7.292631149291992, rewards = -77.82592592592653, consume time = 178.1157569885254s
Episode 57 done, steps = 7985, actions = [0:3/173 | 1:1/173 | 2:17/173 | 3:147/173 | 4:5/173 | ], loss = -3.552584171295166, rewards = -83.92915129151349, consume time = 182.0189597606659s
Episode 58 done, steps = 8104, actions = [0:1/119 | 1:1/119 | 2:9/119 | 3:104/119 | 4:4/119 | ], loss = -0.913811445236206, rewards = -68.54695340501847, consume time = 184.74015593528748s
Episode 59 done, steps = 8260, actions = [0:0/156 | 1:1/156 | 2:16/156 | 3:134/156 | 4:5/156 | ], loss = -2.610527992248535, rewards = -74.38791208791216, consume time = 188.24800491333008s
Episode 60 done, steps = 8411, actions = [0:2/151 | 1:2/151 | 2:26/151 | 3:116/151 | 4:5/151 | ], loss = -3.6019537448883057, rewards = -60.89365079365069, consume time = 191.66146612167358s
Episode 61 done, steps = 8661, actions = [0:0/250 | 1:2/250 | 2:46/250 | 3:195/250 | 4:7/250 | ], loss = -0.8131027817726135, rewards = -28.853754940712246, consume time = 197.1920530796051s
Episode 62 done, steps = 8911, actions = [0:1/250 | 1:3/250 | 2:58/250 | 3:182/250 | 4:6/250 | ], loss = 1.7267858982086182, rewards = 56.54952076677318, consume time = 203.25498175621033s
Episode 63 done, steps = 9112, actions = [0:0/201 | 1:2/201 | 2:43/201 | 3:143/201 | 4:13/201 | ], loss = -5.607119560241699, rewards = -104.21304347826157, consume time = 207.99411988258362s
Episode 64 done, steps = 9362, actions = [0:1/250 | 1:9/250 | 2:49/250 | 3:181/250 | 4:10/250 | ], loss = -0.9933924674987793, rewards = -27.21518987341847, consume time = 213.85631108283997s
Episode 65 done, steps = 9552, actions = [0:3/190 | 1:3/190 | 2:44/190 | 3:131/190 | 4:9/190 | ], loss = -5.628138065338135, rewards = -117.97288135593264, consume time = 218.304123878479s
Episode 66 done, steps = 9802, actions = [0:1/250 | 1:5/250 | 2:47/250 | 3:187/250 | 4:10/250 | ], loss = -1.7188434600830078, rewards = -41.17647058823603, consume time = 224.00974202156067s
Episode 67 done, steps = 10029, actions = [0:2/227 | 1:2/227 | 2:47/227 | 3:165/227 | 4:11/227 | ], loss = -5.0108962059021, rewards = -110.20464396284902, consume time = 229.25210690498352s
Episode 68 done, steps = 10185, actions = [0:2/156 | 1:5/156 | 2:21/156 | 3:119/156 | 4:9/156 | ], loss = -6.775353908538818, rewards = -84.222222222223, consume time = 232.71770095825195s
Episode 69 done, steps = 10347, actions = [0:2/162 | 1:2/162 | 2:34/162 | 3:115/162 | 4:9/162 | ], loss = -6.729268550872803, rewards = -84.7388888888897, consume time = 236.47843980789185s
Episode 70 done, steps = 10597, actions = [0:2/250 | 1:12/250 | 2:26/250 | 3:196/250 | 4:14/250 | ], loss = -0.9559867978096008, rewards = -20.000000000000828, consume time = 242.01473593711853s
Episode 71 done, steps = 10770, actions = [0:0/173 | 1:5/173 | 2:24/173 | 3:136/173 | 4:8/173 | ], loss = -6.277714729309082, rewards = -95.4175718849847, consume time = 246.01783919334412s
Episode 72 done, steps = 10923, actions = [0:1/153 | 1:3/153 | 2:16/153 | 3:130/153 | 4:3/153 | ], loss = -4.879454135894775, rewards = -86.57567567567637, consume time = 249.7397539615631s
Episode 73 done, steps = 11080, actions = [0:0/157 | 1:5/157 | 2:19/157 | 3:125/157 | 4:8/157 | ], loss = -5.049719333648682, rewards = -86.54105960264975, consume time = 253.52468395233154s
Episode 74 done, steps = 11259, actions = [0:2/179 | 1:6/179 | 2:17/179 | 3:138/179 | 4:16/179 | ], loss = -7.842320442199707, rewards = -84.96906474820175, consume time = 257.7661120891571s
Episode 75 done, steps = 11455, actions = [0:2/196 | 1:7/196 | 2:27/196 | 3:144/196 | 4:16/196 | ], loss = -8.250313758850098, rewards = -104.474496644296, consume time = 262.21362686157227s
Episode 76 done, steps = 11601, actions = [0:3/146 | 1:6/146 | 2:13/146 | 3:113/146 | 4:11/146 | ], loss = -6.8938307762146, rewards = -79.14695340501864, consume time = 265.5260100364685s
Episode 77 done, steps = 11747, actions = [0:1/146 | 1:6/146 | 2:11/146 | 3:122/146 | 4:6/146 | ], loss = -2.3403615951538086, rewards = -84.05633802816969, consume time = 268.8898980617523s
Episode 78 done, steps = 11891, actions = [0:4/144 | 1:7/144 | 2:12/144 | 3:114/144 | 4:7/144 | ], loss = -3.9116930961608887, rewards = -76.01851851851924, consume time = 272.15845704078674s
Episode 79 done, steps = 12032, actions = [0:4/141 | 1:10/141 | 2:11/141 | 3:106/141 | 4:10/141 | ], loss = -4.488273620605469, rewards = -52.44012944983866, consume time = 275.666543006897s
Episode 80 done, steps = 12184, actions = [0:1/152 | 1:8/152 | 2:15/152 | 3:120/152 | 4:8/152 | ], loss = -5.8590192794799805, rewards = -81.84831460674232, consume time = 279.09374499320984s
Episode 81 done, steps = 12342, actions = [0:2/158 | 1:9/158 | 2:15/158 | 3:126/158 | 4:6/158 | ], loss = -5.2874603271484375, rewards = -86.15766423357738, consume time = 282.79857206344604s
